127.0.0.1 - - [24/Jan/2025:13:58:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:19 +0530] "GET /E_Commerce/home.jsp HTTP/1.1" 500 2587
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:40 +0530] "GET /E_Commerce/login.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "POST /E_Commerce/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/Product HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/home.jsp HTTP/1.1" 200 9950
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/casualShoe.jpg HTTP/1.1" 200 24626
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/EthnicWear.jpg HTTP/1.1" 200 137381
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/leatherwallet.jpg HTTP/1.1" 200 52659
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/printed-formal-shirt.jpg HTTP/1.1" 200 16201
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/digitalwatch.jpg HTTP/1.1" 200 346776
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/styles/home.css HTTP/1.1" 200 5563
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/Sports%20Shoes.jpg HTTP/1.1" 200 58253
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/Laptops.jpg HTTP/1.1" 200 221196
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/Mobile%20Phones.jpg HTTP/1.1" 200 42673
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/Headphones.jpg HTTP/1.1" 200 41421
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/Smartwatches.jpg HTTP/1.1" 200 78883
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/Non-Fiction%20Books.jpg HTTP/1.1" 200 997718
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:53 +0530] "GET /E_Commerce/product_images/Sunglasses.jpg HTTP/1.1" 200 777270
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:54 +0530] "GET /E_Commerce/product_images/Kitchen%20Appliances.jpg HTTP/1.1" 200 29332
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:54 +0530] "GET /E_Commerce/product_images/Toys.jpg HTTP/1.1" 200 46224
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:54 +0530] "GET /E_Commerce/product_images/Furniture.jpg HTTP/1.1" 200 33829
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:54 +0530] "GET /E_Commerce/product_images/Gaming%20Consoles.jpg HTTP/1.1" 200 64378
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:54 +0530] "GET /E_Commerce/product_images/Stationery.jpg HTTP/1.1" 200 53511
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:54 +0530] "GET /E_Commerce/product_images/Action%20Cameras.jpg HTTP/1.1" 200 3174
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:58:54 +0530] "GET /E_Commerce/product_images/Fitness%20Equipment.jpg HTTP/1.1" 200 36555
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:20 +0530] "GET /E_Commerce/signup.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:25 +0530] "GET /E_Commerce/login.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:28 +0530] "GET /E_Commerce/register.jsp HTTP/1.1" 200 3481
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:31 +0530] "GET /E_Commerce/login.jsp HTTP/1.1" 200 2858
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:49 +0530] "GET /E_Commerce/ProductItemsServlet?productId=18 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:51 +0530] "GET /E_Commerce/productItems.jsp HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:51 +0530] "GET /E_Commerce/styles/productItems.css?v=1.0 HTTP/1.1" 200 2995
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:56 +0530] "GET /E_Commerce/ProductItemsServlet?productId=13 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:13:59:56 +0530] "GET /E_Commerce/productItems.jsp HTTP/1.1" 200 9343
0:0:0:0:0:0:0:1 - - [24/Jan/2025:14:00:14 +0530] "GET /E_Commerce/ProductItemsServlet?productId=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Jan/2025:14:00:14 +0530] "GET /E_Commerce/productItems.jsp HTTP/1.1" 200 8762
